Author,Title,Q_Count,E_Count,SC_Count,C_Count,D_Count,Co_Count,Qu_Count,Pa_Count,Sent_Count,Hyphen_Count,Word_Num,Unique_Words,Word_Length_Av,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
Charles Dickens,Oliver Twist,8,17,15,1,4,101,39,3,65,10,964,461,5.6298076923076925,32,3,108,1,0,108,70,0,2,0,14,164,32,53,0,1,4,60,27,55,4,1,7,18,2,39,53,22,19,16,21,3,11,0,9
Charles Dickens,Oliver Twist,8,11,27,2,2,119,58,0,63,9,926,410,5.735849056603773,33,4,103,1,0,92,54,0,0,0,14,142,23,77,0,0,3,64,23,67,0,0,5,17,5,38,63,21,18,19,15,5,4,0,1
Charles Dickens,Oliver Twist,5,5,21,7,2,103,18,3,40,8,976,512,6.006342494714588,41,3,115,0,0,114,71,2,3,0,15,163,37,59,0,2,12,54,24,60,0,1,4,20,2,33,59,24,26,18,15,7,8,0,6
Charles Dickens,Oliver Twist,6,7,13,4,3,100,49,0,59,4,949,430,5.549222797927461,28,3,118,1,0,108,70,4,2,0,19,147,24,16,0,2,6,95,26,65,2,0,7,17,1,40,76,22,17,16,14,2,2,0,7
Charles Dickens,Oliver Twist,11,27,11,1,13,99,54,0,70,1,919,430,5.5139240506329115,26,7,100,1,0,105,59,1,1,0,9,132,28,31,0,0,5,80,32,59,3,0,4,20,5,36,88,33,26,12,4,7,10,0,9
Charles Dickens,Oliver Twist,5,14,19,2,0,99,45,1,56,12,964,452,5.992682926829269,31,1,102,2,0,126,55,3,2,0,7,152,26,91,0,2,5,61,40,56,2,0,3,20,2,30,63,23,13,13,13,8,5,0,8
Charles Dickens,Oliver Twist,11,12,25,3,0,119,44,0,60,7,944,444,5.678217821782178,41,4,109,4,0,105,55,1,1,0,17,131,15,69,0,0,2,67,29,53,2,0,7,29,3,41,77,23,12,9,9,4,7,0,9
Charles Dickens,Oliver Twist,12,10,17,4,3,101,41,0,68,18,961,483,5.712694877505568,48,1,104,1,0,120,58,2,0,0,3,130,42,68,0,1,5,69,31,50,4,0,3,19,3,23,72,29,16,25,7,2,7,0,11
Charles Dickens,Oliver Twist,7,2,20,6,2,110,30,1,47,7,975,465,6.063084112149533,37,4,131,1,0,142,57,3,2,0,14,164,32,33,1,0,3,56,20,62,2,0,7,17,3,29,72,28,25,5,6,15,4,1,1
Charles Dickens,Oliver Twist,6,19,20,1,3,97,46,0,70,1,938,425,5.802631578947368,39,1,101,2,0,106,38,1,2,0,21,136,19,40,0,0,7,105,33,67,4,0,4,25,1,42,69,17,17,13,26,2,5,0,6
Charles Dickens,Oliver Twist,5,7,13,7,2,107,36,0,50,3,962,462,5.906103286384977,42,5,113,2,0,130,65,3,0,0,7,160,31,38,0,0,5,62,39,49,1,0,5,20,1,18,82,38,18,12,8,10,6,0,4
Charles Dickens,Oliver Twist,13,14,22,1,7,93,48,0,75,1,933,416,5.671052631578948,35,4,114,2,0,105,40,3,3,0,18,114,30,34,0,1,1,109,20,64,0,0,5,19,3,39,79,22,26,13,17,4,6,0,11
Charles Dickens,Oliver Twist,4,10,13,7,7,111,29,3,38,12,997,503,6.318279569892473,42,4,108,1,1,125,68,1,2,0,14,161,44,53,0,3,3,51,25,47,3,0,6,36,3,36,55,31,26,5,11,9,5,2,1
Charles Dickens,Oliver Twist,9,10,16,2,5,105,72,0,75,8,902,412,6.104683195592287,25,7,96,1,0,82,59,3,0,0,15,133,24,95,0,0,9,63,24,56,2,0,7,13,5,39,80,16,18,12,9,2,4,0,3
Charles Dickens,Oliver Twist,5,21,19,4,0,93,56,0,69,12,941,482,5.878103837471783,34,5,98,1,0,117,67,5,1,0,5,154,26,79,0,2,5,60,25,44,0,1,5,16,1,38,59,20,22,19,17,5,6,0,6
Charles Dickens,Oliver Twist,0,6,21,2,2,105,48,1,49,2,952,434,5.953964194373402,22,12,118,3,0,118,47,0,6,0,11,146,31,49,0,0,2,60,29,51,1,2,3,21,1,28,80,20,36,17,13,9,17,0,4
Charles Dickens,Oliver Twist,1,2,20,5,3,110,3,2,41,5,1016,482,5.793406593406593,56,5,94,3,0,141,64,1,1,0,12,162,42,20,0,3,3,83,34,67,2,0,4,21,0,29,105,21,19,3,1,9,5,0,5
Charles Dickens,Oliver Twist,6,8,21,0,10,120,66,3,57,7,896,424,5.778645833333333,31,6,99,0,0,97,48,1,0,0,7,141,26,59,0,1,4,63,20,56,2,1,10,16,0,27,85,30,25,12,17,3,8,0,5
Charles Dickens,Oliver Twist,5,7,14,5,1,102,33,1,52,15,997,471,5.789351851851852,42,11,100,4,0,132,84,5,1,0,7,169,25,47,0,2,2,49,33,63,0,0,4,22,1,29,75,14,24,9,13,9,3,0,2
Charles Dickens,Oliver Twist,9,12,21,2,5,100,49,0,62,5,949,439,5.830379746835443,33,3,100,4,1,113,70,2,1,0,14,135,21,48,0,1,2,84,18,64,0,0,2,22,2,41,64,19,32,16,18,5,4,0,6
Charles Dickens,Oliver Twist,6,9,16,2,2,100,48,1,48,6,973,443,5.642156862745098,49,1,103,2,0,121,70,4,4,0,26,144,26,24,0,2,3,79,32,45,0,0,4,22,5,49,49,16,25,28,20,8,6,0,1
Charles Dickens,Oliver Twist,6,8,17,3,1,109,39,1,54,9,956,449,6.096385542168675,34,4,103,1,0,119,64,3,0,0,14,151,26,50,0,2,6,69,18,53,3,0,3,26,2,42,78,24,26,14,13,8,6,0,4
Charles Dickens,Oliver Twist,18,2,18,3,7,115,52,0,59,13,932,421,5.723785166240409,36,8,122,0,0,107,47,1,0,0,6,149,32,48,1,1,1,54,24,53,0,0,11,25,2,32,75,24,15,13,25,2,15,0,2
Charles Dickens,Oliver Twist,8,8,20,5,0,104,45,0,51,4,951,421,5.919689119170984,47,8,122,2,0,119,53,7,4,0,21,127,36,29,1,1,7,73,17,60,4,0,5,24,1,45,39,18,24,24,24,10,4,0,6
Charles Dickens,Oliver Twist,7,9,19,5,1,101,64,1,59,13,938,416,5.5855614973262036,34,8,108,3,0,113,54,2,0,0,10,146,24,61,2,2,3,75,20,43,1,0,7,20,1,30,79,13,18,17,16,5,9,0,6
Charles Dickens,Oliver Twist,11,15,21,1,4,102,55,0,67,13,943,418,5.818421052631579,34,6,89,1,0,95,59,2,1,0,9,122,17,68,2,1,7,76,15,70,2,1,13,19,2,30,65,28,28,23,29,4,12,0,4
Charles Dickens,Oliver Twist,2,8,22,3,2,103,21,0,34,2,1006,468,6.0742459396751745,52,6,91,1,0,129,85,6,0,0,23,134,37,57,1,4,4,75,18,50,1,0,3,35,4,50,55,21,32,9,3,9,8,0,6
Charles Dickens,Oliver Twist,18,12,15,2,6,97,58,0,76,8,922,417,5.798941798941799,33,1,116,2,0,96,59,1,1,0,17,144,16,39,0,1,7,86,17,64,0,1,8,21,2,41,56,18,23,28,10,6,10,0,6
Charles Dickens,Oliver Twist,4,16,14,2,2,95,28,0,60,4,976,476,5.681093394077449,56,4,91,0,0,116,67,1,1,0,14,154,40,41,1,1,11,66,27,63,0,0,5,25,5,35,66,21,28,19,8,8,12,1,5
Charles Dickens,Oliver Twist,0,2,22,11,0,106,0,2,27,9,1035,469,5.739819004524887,73,5,113,9,0,128,106,2,4,0,21,137,53,33,0,2,3,50,13,51,2,4,4,27,0,42,68,18,25,2,4,16,6,1,9
Charles Dickens,Oliver Twist,6,14,24,6,5,93,40,0,65,1,959,429,5.6893939393939394,45,2,82,2,0,98,90,5,1,0,13,127,29,33,0,0,0,79,37,68,2,0,3,19,6,34,84,15,31,14,11,6,10,0,8
Charles Dickens,Oliver Twist,4,6,17,9,0,107,25,0,48,9,989,457,5.681818181818182,52,3,97,3,0,117,59,1,4,0,17,126,29,40,0,4,5,78,21,51,3,0,11,37,1,44,76,29,27,17,9,8,10,0,8
Charles Dickens,Oliver Twist,1,14,29,6,3,84,12,1,43,2,1015,485,5.8618421052631575,56,3,116,5,0,139,77,2,1,0,10,180,37,15,0,2,2,54,24,67,1,1,5,18,2,25,73,28,25,13,11,10,6,0,9
Charles Dickens,Oliver Twist,7,15,13,4,3,90,37,0,67,6,971,466,5.651764705882353,36,1,98,1,0,104,56,6,1,0,18,138,27,56,0,1,5,81,28,55,1,0,7,29,2,45,87,22,26,8,10,13,8,1,4
Charles Dickens,Oliver Twist,7,8,14,2,7,108,48,0,48,1,955,414,5.727513227513228,48,6,77,1,1,114,63,3,2,0,30,134,22,38,0,0,2,92,33,60,2,0,3,13,1,48,48,12,26,39,14,10,3,1,10
Charles Dickens,Oliver Twist,10,1,17,1,0,117,46,0,48,6,953,446,6.132530120481928,41,1,94,1,0,118,75,4,3,0,15,137,33,44,0,1,6,64,31,60,2,0,4,27,2,33,73,12,28,14,10,15,4,0,7
Charles Dickens,Oliver Twist,2,5,19,4,4,103,6,0,39,7,1024,476,5.923937360178971,53,3,105,10,0,135,74,3,2,0,10,147,38,17,0,4,4,77,33,60,0,3,2,23,0,34,81,20,27,16,19,14,3,1,6
Charles Dickens,Oliver Twist,5,5,24,2,0,94,28,0,51,5,987,458,5.992924528301887,48,4,132,2,0,126,47,2,4,0,12,132,38,58,0,1,6,66,10,51,1,1,10,26,0,35,91,26,34,6,2,8,9,1,3
Charles Dickens,Oliver Twist,1,5,28,4,7,96,28,0,40,2,986,433,5.629353233830845,44,4,81,5,0,128,65,2,10,0,20,129,36,29,0,2,2,81,35,61,3,2,0,34,1,44,63,16,33,21,10,13,6,0,8
Charles Dickens,Oliver Twist,7,9,21,1,9,99,58,0,57,1,935,416,5.660574412532637,50,8,72,1,0,98,61,6,2,0,34,124,22,35,1,1,1,106,33,57,3,1,1,31,2,64,37,12,22,25,16,4,4,0,2
Charles Dickens,Oliver Twist,7,7,19,3,4,95,45,1,53,9,970,466,5.776995305164319,41,6,81,2,0,103,62,2,0,0,23,125,23,78,0,0,1,90,24,57,0,1,7,29,2,52,56,19,23,28,11,7,4,0,8
Charles Dickens,Oliver Twist,4,9,19,2,1,102,28,1,58,11,983,493,5.915766738660907,42,6,100,3,0,121,77,3,0,0,10,176,39,77,0,0,4,49,30,41,3,1,0,15,1,25,78,17,24,13,10,8,3,0,2
Charles Dickens,Oliver Twist,7,8,11,7,3,95,35,2,57,5,984,470,6.085057471264368,29,5,104,0,0,126,60,1,3,0,7,148,37,57,0,1,1,56,33,75,0,2,7,16,0,29,74,33,25,13,12,5,13,1,3
Charles Dickens,Oliver Twist,6,4,13,8,4,109,39,1,55,5,952,431,5.9025,33,6,95,0,0,115,60,1,1,0,9,140,19,36,0,0,8,95,23,74,2,0,4,25,0,39,86,15,26,23,7,6,4,1,7
Charles Dickens,Oliver Twist,9,6,18,0,6,97,49,1,60,9,944,459,5.9763593380614655,31,4,103,2,0,118,59,2,0,0,5,150,20,51,0,2,4,75,25,50,1,0,3,28,2,28,83,26,30,16,9,12,7,0,8
Charles Dickens,Oliver Twist,7,11,12,9,1,98,40,0,60,5,965,485,6.067114093959732,42,1,117,1,0,132,59,0,1,0,14,142,31,31,0,1,5,67,20,70,0,0,3,19,0,32,76,34,27,15,8,9,9,0,4
